Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45)
7.035440079414225e-20,0.05497191311922635,1.8268711963699116e-17,0.938,0.0,0.0,0.035216607481915886,0.01,0.04999999999999816,3.4084081183015024e-96,3.096274672207689e-101,0.001999999999999906,9.716095816147826e-160,6.251163413646659e-130,1.847557367387789e-15,9.105655398183104e-79,2.864264651977544e-18,1.0083194136644684e-51,2.6679035389188707e-20,7.600847053263546e-17,1.824203292830993e-17,6.62456688188056e-36,1.287236729799805e-150,8.223925581971178e-110,2.1445353194547317e-75,3.698247834129655e-88
1.4070880904330587e-19,0.05497191311922635,3.6537425863217085e-17,0.938,0.0,0.0,0.03521660748191392,0.009999999999999998,0.04999999999999631,5.45574800462117e-95,1.9816601248203466e-99,0.001999999999999812,9.949491662143852e-157,1.6003337938640159e-127,3.695114927004097e-15,2.913875424722083e-77,5.728529607463098e-18,8.066556364120701e-51,5.335807360538474e-20,1.520169491154252e-16,3.6484067789611704e-17,2.649827064772251e-35,6.590790930038604e-148,1.0526861737633019e-107,6.862513906784158e-74,5.917197142800069e-87
2.814176255416331e-19,0.05497191311922635,7.307485366224184e-17,0.938,0.0,0.0,0.035216607481909995,0.009999999999999995,0.04999999999999261,5.4646390169532727e-95,1.2683189371478523e-97,0.001999999999999623,2.517624353302684e-153,4.097037361672101e-125,7.390230035599538e-15,9.324819716097534e-76,1.1457059518432925e-17,6.453245881483362e-50,1.0671615003776094e-19,3.040339062690229e-16,7.296813751220408e-17,1.0599309491713307e-34,8.343537608253622e-145,1.3474985579100697e-105,2.1960045203338806e-72,5.917197142711153e-87
5.628352585382876e-19,0.05497191311922635,1.461497092602466e-16,0.938,0.0,0.0,0.03521660748190214,0.00999999999999999,0.04999999999998522,5.4824210416163195e-95,8.11796291919175e-96,0.0019999999999992463,2.5827749334683264e-150,1.0489350214384202e-122,1.4780460210241715e-14,2.984209720624652e-74,2.2914119340367466e-17,5.162597610485105e-49,2.1343230290244985e-19,6.08067820528291e-16,1.459362769573441e-16,4.239724530077573e-34,4.2772435747168796e-142,1.7249521427729518e-103,7.0272141206152095e-71,5.917197142532647e-87
1.1256705245315965e-18,0.05497191311922635,2.922994204560771e-16,0.938,0.0,0.0,0.03521660748188644,0.009999999999999978,0.04999999999997044,5.517985090942839e-95,5.196419773112296e-94,0.001999999999998492,2.645245987379951e-147,2.6857519462774984e-120,2.9560920389331275e-14,9.551181999237412e-73,4.582823898421608e-17,4.130079393265395e-48,4.2686460863157384e-19,1.2161356488551187e-15,2.918725558474456e-16,1.6958903482033917e-33,2.1903463281835006e-139,2.2083327835946505e-101,2.2487081711876785e-69,5.9171971421776355e-87
1.6885057905249054e-18,0.05497191311922635,4.384491316517287e-16,0.938,0.0,0.0,0.035216607481870735,0.009999999999999966,0.04999999999995566,3.1609113711336607e-91,2.91283508621378e-93,0.001999999999997738,1.7719136132548387e-146,2.03925092596055e-119,4.4341380398226036e-14,4.468572794107486e-72,6.874235862804424e-17,1.180944812728211e-47,6.402969143604439e-19,1.8242034769902374e-15,4.3780883473736826e-16,3.603767876823235e-33,1.2493850815119654e-138,1.4616289527513608e-100,1.0519956930067729e-68,3.408901032278333e-83
2.2513410565182143e-18,0.05497191311922635,5.845988428472014e-16,0.938,0.0,0.0,0.03521660748185503,0.009999999999999953,0.04999999999994088,7.395209509144619e-91,1.0633885717770974e-92,0.001999999999996984,1.432291138213704e-145,1.0034764667746586e-118,5.9121840236926e-14,1.4416754195788468e-71,9.165647827185193e-17,2.4909551113168014e-47,8.537292200890602e-19,2.4322713049336475e-15,5.837451136271123e-16,6.147605493277112e-33,1.0402775408017382e-137,6.600008217383404e-100,3.39381428771373e-68,7.953315222865547e-83
3.377011588504832e-18,0.05497191311922635,8.768982652377268e-16,0.938,0.0,0.0,0.03521660748182363,0.00999999999999993,0.049999999999911324,1.0137564549530193e-90,6.926609847214137e-92,0.001999999999995476,5.599472246301808e-144,1.2745054426193567e-117,8.868275951488917e-14,7.936363494160425e-71,1.374847175594193e-16,6.803573355255786e-47,1.280593831545697e-18,3.648406960370539e-15,8.75617671406181e-16,1.2727841896544687e-32,3.749507592547373e-136,7.631717183081585e-99,1.868114311727464e-67,1.0805169208747488e-82
4.50268212049145e-18,0.05497191311922635,1.169197687627594e-15,0.938,0.0,0.0,0.03521660748179222,0.009999999999999908,0.049999999999881764,1.6995497005539063e-90,2.546758538379952e-91,0.001999999999993968,3.9137251679402974e-143,6.520868952877762e-117,1.1824367816698533e-13,2.5472037926180787e-70,1.8331295684691145e-16,1.4235355897031773e-46,1.7074584430014e-18,4.864542615102449e-15,1.1674902291845925e-15,2.164673487731598e-32,2.3321612733592764e-135,3.433990071659726e-98,5.995276620752342e-67,1.8068961759546883e-82
5.628352652478068e-18,0.05497191311922635,1.4614971100167563e-15,0.938,0.0,0.0,0.035216607481760816,0.009999999999999886,0.049999999999852204,2.945257773974551e-90,7.500866732145052e-91,0.00199999999999246,2.1115126242554953e-142,2.556845258136798e-116,1.4780459614850986e-13,6.656319033359498e-70,2.2914119613432296e-16,2.591493024816664e-46,2.1343230544561027e-18,6.080678269079023e-15,1.4593627869623e-15,3.3071334449937336e-32,1.1893105649643725e-134,1.2232812483170915e-97,1.5665465453347517e-66,3.127401986090846e-82
