Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46),O2X2(70),OH(D)(31)
2.302346930219591e-18,0.05913344287745208,6.208982357835516e-16,0.938,0.0,0.0,0.03788260456479604,0.00999999999999993,0.0499999999999373,1.159224667845353e-88,1.756188787514107e-89,0.001999999999996801,8.226115865809371e-141,7.394218429519772e-115,6.27080898498694e-14,1.2932304772310614e-69,1.408250321088067e-16,8.889584869161484e-46,1.7439409139315987e-18,2.579809557593752e-15,6.1915429486962e-16,4.6949796696287014e-32,3.653626738515492e-133,3.9094610979306267e-97,2.518935561881264e-66,2.988273838223566e-81,1.0297393771553731e-88,6.869377277007948e-50,3.911136630401711e-35
3.453520399141347e-18,0.05913344287745208,9.313473547023789e-16,0.938,0.0,0.0,0.0378826045647627,0.009999999999999896,0.049999999999905946,1.5871367644790928e-88,1.143919852335247e-88,0.001999999999995202,3.21591782603255e-139,9.391228816754136e-114,9.406213362094402e-14,7.119101383921147e-69,2.1123754839620077e-16,2.4280216486192977e-45,2.6159113737819276e-18,3.869714338169453e-15,9.287314433285966e-16,9.720360604606964e-32,1.3168717025607299e-131,4.520537955857644e-96,1.3865397763515527e-65,4.059791089839065e-81,2.7653424692328346e-88,1.9939676108003563e-49,8.097511600259965e-35
4.604693868063103e-18,0.05913344287745208,1.2417964736205655e-15,0.938,0.0,0.0,0.03788260456472937,0.009999999999999861,0.04999999999987459,2.6598919791106083e-88,4.205901688753589e-88,0.0019999999999936024,2.247739637411309e-138,4.804894336067345e-113,1.2541617655319263e-13,2.284877002232395e-68,2.816500646834807e-16,5.080234068623195e-45,3.487881833630331e-18,5.159619117082738e-15,1.2383085917869347e-15,1.6531790073655973e-31,8.190781424112309e-131,2.034062096262144e-95,4.449774947638953e-65,6.788988338565753e-81,5.271743916879225e-88,4.360580907494037e-49,1.3771746335889257e-34
5.755867336984858e-18,0.05913344287745208,1.552245592538066e-15,0.938,0.0,0.0,0.03788260456469603,0.009999999999999827,0.04999999999984323,4.608711774932809e-88,1.2387367982734536e-87,0.001999999999992003,1.2126789821950807e-137,1.8839953438018688e-112,1.5677021858669902e-13,5.970748283960403e-68,3.5206258097063834e-16,9.248373147252981e-45,4.359852293476672e-18,6.4495238942148625e-15,1.5478857402445887e-15,2.525684383874335e-31,4.1769356416696504e-130,7.245823704505006e-95,1.162711721889425e-64,1.1750471891123905e-80,9.675126352722161e-88,8.181040515982239e-49,2.1040116534826584e-34
8.05821427482837e-18,0.05913344287745208,2.1731438303709655e-15,0.938,0.0,0.0,0.037882604564629364,0.009999999999999756,0.049999999999780526,5.69840177597743e-88,1.0398500207876461e-86,0.001999999999988804,7.410571050328917e-136,4.426968288240868e-111,2.1947829990103178e-13,3.341130790521184e-67,4.928876135445791e-16,2.4418440810343574e-44,6.103793213163035e-18,9.02933344302375e-15,2.1670400371578006e-15,4.856803275418283e-31,1.3780000914535604e-128,1.0398703624020443e-93,6.504219137591526e-64,1.4314031229358783e-80,2.1184582953577355e-87,2.238479604491436e-48,4.04593976478231e-34
1.0360561212671881e-17,0.05913344287745208,2.794042068201078e-15,0.938,0.0,0.0,0.037882604564562695,0.009999999999999684,0.04999999999971782,2.3849432650185693e-87,4.249833285307575e-86,0.0019999999999856053,6.046739546509168e-135,2.6712488301157846e-110,2.8218637756509663e-13,1.1047082265191908e-66,6.337126461180232e-16,5.062555720269056e-44,7.84773413284102e-18,1.1609142984598403e-14,2.7861943340682346e-15,7.96514769886415e-31,9.622695988176947e-128,5.1939189664463665e-93,2.150052272672789e-63,6.048441442078453e-80,6.392215467260932e-87,4.718983291435095e-48,6.635330781502119e-34
1.4965255088358905e-17,0.05913344287745208,4.0358385438529426e-15,0.938,0.0,0.0,0.03788260456442936,0.009999999999999544,0.0499999999995924,3.290125465634906e-86,4.4552671089906164e-85,0.001999999999979207,3.879481473762023e-133,7.159024621342263e-109,4.076025219439624e-13,7.402515546308035e-66,9.153627112634215e-16,1.5211526821733378e-43,1.1335615972171856e-17,1.676876204604805e-14,4.024502927880765e-15,1.651318966208373e-30,3.610287629594344e-126,8.464840890396368e-92,1.4397417942586493e-62,8.282237972449412e-79,1.1473633758288224e-85,1.4394333757309747e-47,1.3756228581235853e-33
2.4174642839732954e-17,0.05913344287745208,6.519431495123232e-15,0.938,0.0,0.0,0.037882604564162675,0.009999999999999263,0.04999999999934156,4.376814876251108e-85,1.0266947334104624e-83,0.0019999999999664115,7.631168535460901e-131,5.2915918552095676e-107,6.584347669049875e-13,9.225995162519149e-65,1.4786628415482582e-15,6.539935427910366e-43,1.8311379650732977e-17,2.7088000082149408e-14,6.501120115472482e-15,4.293464005427418e-30,3.6034536554984755e-124,3.236581379489197e-90,1.7915234026598083e-61,1.0699036660975327e-77,2.895083148730056e-84,6.245796435569556e-47,3.5766426589777576e-33
4.2593418342481044e-17,0.05913344287745208,1.1486617397530045e-14,0.938,0.0,0.0,0.03788260456362931,0.0099999999999987,0.04999999999883988,7.347290781294461e-84,3.840134934394093e-82,0.00199999999994082,3.0264018546322595e-128,6.977795724193343e-105,1.160099081641712e-12,1.7647261888628545e-63,2.6052631020940947e-15,3.682728266462843e-42,3.2262907007453e-17,4.7726475807163203e-14,1.1454354490522544e-14,1.3307891602027978e-29,7.168141021839087e-122,2.1501707707019973e-88,3.41540202642272e-60,1.6974225070939712e-76,9.09461795513151e-83,3.5310660701438255e-46,1.1086017613739902e-32
7.943096934797724e-17,0.05913344287745208,2.1420989201808625e-14,0.938,0.0,0.0,0.03788260456256258,0.009999999999997573,0.049999999997836525,1.3004913181466686e-82,1.869408038960717e-80,0.0019999999998896365,1.8587829009007204e-125,1.2673745679643228e-102,2.1634270103749384e-12,4.330519981752454e-62,4.858463623090418e-15,2.445483211769264e-41,6.016596171928363e-17,8.900342586843642e-14,2.136082324008918e-14,4.625745642626251e-29,2.2037203982431374e-119,1.957753527633297e-86,8.325490692160685e-59,2.704874153707178e-75,2.8964430304018753e-81,2.34786010419638e-45,3.853409784904027e-32
1.531060713589696e-16,0.05913344287745208,4.128973280822556e-14,0.938,0.0,0.0,0.03788260456042913,0.00999999999999532,0.04999999999582981,2.49541626068016e-81,1.0506403492938697e-78,0.0019999999997872696,1.4677567948847124e-122,2.746530838474918e-100,4.170080064885555e-12,1.2212470960557091e-60,9.364864664701667e-15,1.7777972631191182e-40,1.1597207113650356e-16,1.7155732043596852e-13,4.117376073708846e-14,1.7184077729471694e-28,8.704520931501882e-117,2.1236755386422516e-84,2.3170432611120845e-57,4.326909752049951e-74,9.265040986874499e-80,1.7074092046741996e-44,1.4314755436576087e-31
3.004562753809544e-16,0.05913344287745208,8.102722001249854e-14,0.938,0.0,0.0,0.03788260455616224,0.009999999999990813,0.04999999999181642,5.14177394801259e-81,6.41757284222496e-77,0.001999999999582536,1.7743057371497202e-119,6.585557023781698e-98,8.18337496211336e-12,3.7366434050869024e-59,1.8377666746398615e-14,1.3549326340166405e-39,2.275842899451485e-16,3.3666508735098e-13,8.079963572255095e-14,6.617552287323166e-28,5.264085648530934e-114,2.5474453353147378e-82,6.908031755614363e-56,5.453659532174741e-74,3.3957217984770124e-79,1.3012915825891986e-43,5.512436358893594e-31
5.951566834249238e-16,0.05913344287745208,1.605021943868002e-13,0.938,0.0,0.0,0.0378826045476285,0.0099999999999818,0.049999999983789636,1.4700447940221016e-80,4.1609789599008464e-75,0.0019999999991730686,1.7995789612635438e-116,1.6918881350832897e-95,1.6209919909629145e-11,1.2128317256557139e-57,3.640327090369055e-14,1.0578623557985048e-38,4.508087274590195e-16,6.668805323008177e-13,1.6005138565933094e-13,2.5966638463470865e-27,2.6690156596071493e-111,3.2734312564985722e-80,2.133039090736305e-54,9.309702414168535e-74,1.2406269653931833e-78,1.0158021363176561e-42,2.1629124451417772e-30
8.898570914688933e-16,0.05913344287745208,2.3997716871544197e-13,0.938,0.0,0.0,0.037882604539094825,0.009999999999972786,0.04999999997576294,1.5214772479741696e-78,2.9080136339039017e-74,0.0019999999987636015,2.3720654099255085e-115,1.6745386993717472e-94,2.4236405061528784e-11,6.998405945380526e-57,5.4428875052846924e-14,3.338434648563703e-38,6.740331648346875e-16,9.970958587437715e-13,2.393031355505831e-13,5.805127630200233e-27,3.166125476089713e-110,2.817264333173754e-79,1.2055787775924615e-53,1.3430546283681305e-71,1.1210587976737178e-76,3.205273741192571e-42,4.8352167767563704e-30
1.1845574995128627e-15,0.05913344287745208,3.1945214299842275e-13,0.938,0.0,0.0,0.03788260453056121,0.009999999999963772,0.04999999996773628,5.432558393110415e-78,1.2383862634326858e-73,0.0019999999983541343,2.3701375337997304e-114,9.953301047490852e-94,3.226283041823644e-11,2.568728528062676e-56,7.245447919386819e-14,7.595213177160963e-38,8.972576020717177e-16,1.3273110666798835e-12,3.1855488539630576e-13,1.0287308018660736e-26,3.058735874577601e-109,1.5118832390795025e-78,4.342805938587549e-53,3.649461870953821e-71,4.49495747859654e-76,7.291312684559869e-42,8.56815662325352e-30
1.4792579075568322e-15,0.05913344287745208,3.9892711723574123e-13,0.938,0.0,0.0,0.03788260452202765,0.009999999999954759,0.0499999999597097,1.2156776842900576e-77,4.020475602905373e-73,0.001999999997944667,1.69891038949409e-113,4.43757187020763e-93,4.028919598019049e-11,7.32783721486709e-56,9.048008332675485e-14,1.44671984123796e-37,1.12048203916966e-15,1.6575261561091964e-12,3.978066351964975e-13,1.6043371916698848e-26,2.0652301942043177e-108,6.155410985087269e-78,1.2161631051036065e-52,6.343329270138788e-71,1.0841579528190226e-75,1.3886516387648072e-41,1.3361731979713395e-29
2.068658723644771e-15,0.05913344287745208,5.578770655733874e-13,0.938,0.0,0.0,0.03788260450496072,0.009999999999936733,0.0499999999436567,3.0131927814359355e-77,2.6355259148055947e-72,0.0019999999971257345,4.832265627685604e-112,5.4816342370925547e-92,5.634174772146291e-11,3.793480742005327e-55,1.2653129156812623e-13,3.84266840179191e-37,1.5669309129466146e-15,2.317955979447584e-12,5.563101346602815e-13,3.137776912902591e-26,4.788752888718973e-107,6.286969314322578e-77,6.050861054926706e-52,9.177054988873652e-71,2.9682525274808356e-75,3.687458884477305e-41,2.613078920846326e-29
