Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46),O2X2(70)
1.4125395053995231e-18,0.10924808674370724,5.934834970379898e-16,0.938,0.0,0.0,0.06998750399419748,0.009999999999999445,0.049999999999947635,-1.0403264524976842e-77,1.983444073406545e-71,0.0019999999999973325,3.929184874706106e-114,1.7208747001189636e-93,5.229302133270658e-14,5.799187310862903e-59,1.1092427062808071e-15,3.7976825499181145e-37,7.716335907189043e-17,2.151333736434433e-15,5.163201379545086e-16,3.282240454806805e-27,1.516695397839377e-107,5.287227702524302e-82,2.7921242949678147e-56,-5.270265130334463e-74,-3.149797937307652e-79,2.757920593403448e-42
1.786447022991333e-18,0.10924808674370724,7.505820704655745e-16,0.938,0.0,0.0,0.06998750399418247,0.009999999999999298,0.04999999999993377,1.7171923326725397e-76,6.163620590148534e-71,0.0019999999999966264,1.6566045812425465e-113,6.880693927014316e-93,6.613529079354796e-14,1.5324875070171577e-58,1.4028657767347205e-15,7.177867128444687e-37,9.758895419925406e-17,2.72080438299356e-15,6.529931162482271e-16,5.12362367714421e-27,5.387457214017753e-107,1.8090701358268816e-81,7.37832249203451e-56,8.701896926400362e-73,3.9573327589057474e-78,5.3102081271072425e-42
2.1603545405831434e-18,0.10924808674370724,9.076806439206017e-16,0.938,0.0,0.0,0.06998750399416745,0.00999999999999915,0.04999999999991991,3.676199417248639e-76,1.5558269423691314e-70,0.0019999999999959204,6.827613386462007e-113,2.1869936717657683e-92,7.99775598847415e-14,3.471797989206113e-58,1.6964888471887949e-15,1.1997532378385383e-36,1.1801454932636343e-16,3.2902750097787115e-15,7.896660945683002e-16,7.3450874071401e-27,2.1882187605979403e-106,5.289721133958028e-81,1.6715133721515578e-55,1.8621106945340651e-72,1.2264408945401288e-77,9.028657782058011e-42
2.9081695757667634e-18,0.10924808674370724,1.2218777908932389e-15,0.938,0.0,0.0,0.0699875039941374,0.009999999999998857,0.04999999999989218,4.84767400466922e-76,6.179360669727899e-70,0.001999999999994508,8.428041061079762e-112,1.369852322470001e-91,1.0766209722415356e-13,1.2134663148736829e-57,2.283734988097311e-15,2.56133620350961e-36,1.5886573958000243e-16,4.4292162182548296e-15,1.0630120512685478e-15,1.265478148958642e-26,2.6529832361647082e-105,3.1025662963086703e-80,5.8421957809914645e-55,2.4523812154643513e-72,3.079646534294543e-77,1.9962450845900126e-41
3.655984610950384e-18,0.10924808674370724,1.5360749379673155e-15,0.938,0.0,0.0,0.06998750399410736,0.009999999999998564,0.04999999999986445,7.897361873247268e-76,1.813936504958551e-69,0.0019999999999930954,4.455004329301442e-111,5.393467067075832e-91,1.353466331971969e-13,3.160412554277434e-57,2.8709811290064216e-15,4.657511585334688e-36,1.9971692983270169e-16,5.5681573536382926e-15,1.3363580080662136e-15,1.936940784879784e-26,1.2459388364688832e-104,1.0904147908270709e-79,1.521544704236712e-54,3.993486595895667e-72,5.812363712106795e-77,3.7399375992722287e-41
4.403799646134004e-18,0.10924808674370724,1.8502720851497124e-15,0.938,0.0,0.0,0.06998750399407731,0.00999999999999827,0.049999999999836724,1.2364114680721614e-75,4.569240089808981e-69,0.001999999999991683,1.8999117309083198e-110,1.7498060370300114e-90,1.630311677111938e-13,7.142911636362839e-57,3.4582272699161684e-15,7.704432898227255e-36,2.4056812008439734e-16,6.707098410971396e-15,1.609703964967905e-15,2.7584259845391614e-26,4.985075940780996e-104,3.228898539077802e-79,3.438813768541227e-54,6.249710394379959e-72,1.02698093572295e-76,6.329488792543731e-41
5.8994297165012444e-18,0.10924808674370724,2.478666379845569e-15,0.938,0.0,0.0,0.06998750399401724,0.009999999999997683,0.049999999999781275,1.4913277866024304e-75,2.7151422270014177e-68,0.0019999999999888583,5.642938486771959e-109,2.3369816511855947e-89,2.18400232279833e-13,3.0789252661141e-56,4.632719551737605e-15,1.7771682107432126e-35,3.2227050058472177e-16,8.984980287088486e-15,2.1563958790892266e-15,4.859917720805862e-26,9.178208493322554e-103,2.9512413816485494e-78,1.4821927368172171e-53,7.519072961499628e-72,2.1376269163741857e-76,1.5052299742810807e-40
7.395059786868484e-18,0.10924808674370724,3.107060674981468e-15,0.938,0.0,0.0,0.06998750399395716,0.009999999999997095,0.049999999999725826,5.021116417279479e-75,9.721594885806354e-68,0.0019999999999860338,3.991028703794823e-108,1.2230742042910895e-88,2.737692909212019e-13,9.054616761919156e-56,5.8072118335616246e-15,3.4139701019618417e-35,4.039728810809695e-16,1.1262861846131655e-14,2.703087793633144e-15,7.570865373195483e-26,5.523118762731965e-102,1.2841046665987329e-77,4.358665595131163e-53,2.5353157995316387e-71,5.444632376048745e-76,2.93965477477642e-40
1.0386319927602965e-17,0.10924808674370724,4.363849266574269e-15,0.938,0.0,0.0,0.069987503993837,0.00999999999999592,0.04999999999961492,6.354100030600038e-75,8.486022293914366e-67,0.0019999999999803847,1.932302334708074e-106,2.5626673536406967e-87,3.8450739041030584e-13,5.216011458012409e-55,8.156196397217416e-15,9.390265651972398e-35,5.673776420612269e-16,1.5818624012363818e-14,3.7964716239896124e-15,1.4822344451356344e-25,1.59921040330269e-100,1.6799538536518568e-76,2.5104894693328045e-52,3.192551432499896e-71,1.4313383765303373e-75,8.220542936488793e-40
1.6368840209071927e-17,0.10924808674370724,6.87742645504408e-15,0.938,0.0,0.0,0.0699875039935967,0.009999999999993571,0.04999999999939312,7.311751513398139e-73,1.6908074102685644e-65,0.0019999999999690864,2.968665835809496e-104,1.5861436561879268e-85,6.059835182113704e-13,5.730057787892384e-54,1.2854165524560013e-14,3.736565167230531e-34,8.941871639727877e-16,2.4930144537272315e-14,5.983239289777266e-15,3.664390796442965e-25,1.253067217126886e-98,5.439206901411189e-75,2.7569361094629785e-51,3.672143706712357e-69,1.7206787386300537e-73,3.308255027139711e-39
