Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52)
8.630437926271461e-21,0.054700809901540644,2.2353592868297697e-18,0.938,0.0,0.0,0.03504293087030659,0.01,0.04999999999999978,5.437495326325188e-100,6.321632726773091e-107,0.0019999999999999888,3.520494115484126e-169,1.7331353619578547e-137,2.2608198101406103e-16,1.857655656087936e-83,3.4146566200286785e-19,1.4540746672593275e-54,3.117402774929641e-21,9.301007850200245e-18,2.23224188405484e-18,8.66710719404786e-38,3.9299309935835893e-159,2.2170727111095532e-116,4.433364334838679e-80
1.7260883168662004e-20,0.054700809901540644,4.470720468598636e-18,0.938,0.0,0.0,0.03504293087030635,0.01,0.04999999999999955,8.699996525842976e-99,4.045861045247621e-105,0.001999999999999977,3.6050045997672893e-166,4.436846087683941e-135,4.521641536279297e-16,5.944521769650458e-82,6.829316134700031e-19,1.1632606024866299e-53,6.2348081925165224e-21,1.8602023584912476e-17,4.4644856604061196e-18,3.4668450992864265e-37,2.012135061978734e-156,2.8378655787680376e-114,1.418678292621385e-78
3.452177365344309e-20,0.054700809901540644,8.9414428321362e-18,0.938,0.0,0.0,0.03504293087030587,0.01,0.0499999999999991,1.3919997771013435e-97,2.589366923540851e-103,0.001999999999999954,3.6915484873867586e-163,1.1358398064743871e-132,9.043284986983928e-16,1.9022586784595754e-80,1.3658635164042551e-18,9.306088364625804e-53,1.2469619027690059e-20,3.720405505416672e-17,8.928973213108509e-18,1.3867384945519757e-36,1.0302197886513604e-153,3.632491020167969e-112,4.539773249493207e-77
6.904355462300526e-20,0.054700809901540644,1.7882887559210653e-17,0.938,0.0,0.0,0.03504293087030491,0.01,0.0499999999999982,2.227199950275015e-96,1.6572136037897956e-101,0.001999999999999908,3.7801869905008336e-160,2.9077832163997363e-130,1.8086571882102215e-15,6.087297230182081e-79,2.7317273222726837e-18,7.444872221617486e-52,2.4939240698036218e-20,7.44081179919943e-17,1.7857948318512617e-17,5.5469549719134453e-36,5.274783025109926e-151,4.649641865705378e-110,1.4527278639161878e-75
1.380871165621296e-19,0.054700809901540644,3.576577701335687e-17,0.938,0.0,0.0,0.03504293087030299,0.009999999999999998,0.04999999999999639,3.563520295697326e-95,1.0606402487445966e-99,0.0019999999999998157,3.870992374945894e-157,7.444090991123819e-128,3.6173145647174896e-15,1.947978687680602e-77,5.463454934009243e-18,5.955898568498298e-51,4.9878484038724895e-20,1.4881624386492582e-16,3.571589852931815e-17,2.2187822547309858e-35,2.7007453758039922e-148,5.951674526542445e-108,4.648729778938536e-74
2.761742404403783e-19,0.054700809901540644,7.153155592163853e-17,0.938,0.0,0.0,0.035042930870299145,0.009999999999999995,0.04999999999999277,3.5635202956973486e-95,6.788397375954413e-98,0.001999999999999631,9.795174815111311e-154,1.905771675047914e-125,7.23462930766647e-15,6.233809266588441e-76,1.0926910157481157e-17,4.764719458060401e-50,9.975697072008768e-20,2.976324955998941e-16,7.143179895091844e-17,8.875130088651065e-35,3.418976931846111e-145,7.618481372088951e-106,1.4875935865293121e-72
5.523484881968757e-19,0.054700809901540644,1.4306311373815864e-16,0.938,0.0,0.0,0.03504293087029146,0.00999999999999999,0.049999999999985535,3.563520295697338e-95,4.344957545552165e-96,0.001999999999999262,1.0048645359575128e-150,4.8792067667865724e-123,1.44692587533022e-14,1.994996318270501e-74,2.1853820604420184e-17,3.811776266601077e-49,1.9951394408275494e-19,5.952649990262523e-16,1.4286359979407588e-16,3.5500526796425646e-34,1.7527082105374595e-142,9.752519879673001e-104,4.760299305893724e-71
1.1046969837098705e-18,0.054700809901540644,2.861262293710263e-16,0.938,0.0,0.0,0.03504293087027609,0.00999999999999998,0.04999999999997107,3.5635202956959754e-95,2.7812631972753203e-94,0.001999999999998524,1.0291683275716067e-147,1.249297650381981e-120,2.893851748352475e-14,6.385122916359027e-73,4.3707641498279054e-17,3.049422027498869e-48,3.990278908078563e-19,1.1905300057046552e-15,2.857272014802184e-16,1.4200215448828254e-33,8.975482800674453e-140,1.2485435616330245e-101,1.5232955824426311e-69
1.6570454792228652e-18,0.054700809901540644,4.291893450037213e-16,0.938,0.0,0.0,0.03504293087026072,0.009999999999999969,0.0499999999999566,2.0529464237455712e-91,1.5590266934103217e-93,0.0019999999999977857,6.893865983449137e-147,9.485725149245348e-120,4.3407776052698386e-14,2.987313038547348e-72,6.556146239211872e-17,8.719442947921721e-48,5.985418375327245e-19,1.7857950122087443e-15,4.285908031661886e-16,3.0175465661189533e-33,5.119661885870727e-139,8.263730401399818e-101,7.126315588212045e-69
2.20939397473586e-18,0.054700809901540644,5.722524606362438e-16,0.938,0.0,0.0,0.03504293087024535,0.009999999999999959,0.04999999999994213,4.789734312448084e-91,5.691535767931468e-93,0.0019999999999970475,5.572517194917089e-146,4.667742753587307e-119,5.787703446082311e-14,9.63782858829072e-72,8.74152832859392e-17,1.8391834208429695e-47,7.980557842573597e-19,2.3810600185385197e-15,5.714544048519864e-16,5.147580733227121e-33,4.2627905249207615e-138,3.7314989020986936e-100,2.2990010399639248e-68
3.3140909657618495e-18,0.054700809901540644,8.583786919008836e-16,0.938,0.0,0.0,0.0350429308702146,0.009999999999999936,0.04999999999991319,6.507209757235485e-91,3.707301730124385e-92,0.0019999999999955713,2.1785466810893604e-144,5.928449721712116e-118,8.681555089910063e-14,5.30558104816943e-71,1.3112292507353511e-16,5.02338219573163e-47,1.197083677706083e-18,3.571590030788966e-15,8.5718160822317755e-16,1.065741700364286e-32,1.5364508296581563e-136,4.314801514215842e-99,1.2654778611024578e-67
4.4187879567878386e-18,0.054700809901540644,1.144504923164889e-15,0.938,0.0,0.0,0.035042930870183855,0.009999999999999913,0.04999999999988425,1.088169261755134e-90,1.3630907014430774e-91,0.001999999999994095,1.5226846502856763e-143,3.0332260026216177e-117,1.157540667451439e-13,1.7028437871532732e-70,1.7483056686106043e-16,1.0510599490135104e-46,1.5961115711539491e-18,4.762120042398399e-15,1.1429088115937346e-15,1.8125483316307287e-32,9.556587941029331e-136,1.941500114454658e-98,4.061255733428783e-67
5.523484947813828e-18,0.054700809901540644,1.4306311544282136e-15,0.938,0.0,0.0,0.03504293087015311,0.009999999999999891,0.049999999999855306,1.8834191651880018e-90,4.0146546793328513e-91,0.001999999999992619,8.215104904537052e-143,1.189333229608745e-116,1.4469258195665048e-13,4.4498457876023775e-70,2.1853820864851009e-16,1.913415159260967e-46,1.9951394646008963e-18,5.9526500533210336e-15,1.4286360149636126e-15,2.769165599918329e-32,4.8734812406177523e-135,6.916150997050701e-98,1.0611931118182655e-66
7.732878929865806e-18,0.054700809901540644,2.0028836169527807e-15,0.938,0.0,0.0,0.03504293087009162,0.009999999999999848,0.04999999999979743,2.2943185616761685e-90,3.3702194640972337e-90,0.0019999999999896663,5.0204425515759655e-141,2.7948041371266134e-115,2.0256961043619567e-13,2.4901661721993416e-69,3.0595349222317775e-16,5.051985213281117e-46,2.793195251491977e-18,8.333710073062756e-15,2.0000904217012886e-15,5.325012956123824e-32,1.6078773496661456e-133,9.92605459017746e-97,5.93632760591776e-66
1.2151666893969764e-17,0.054700809901540644,3.1473885419936344e-15,0.938,0.0,0.0,0.03504293086996864,0.00999999999999976,0.049999999999681674,3.0925183417259948e-90,6.481443078438143e-89,0.0019999999999837613,7.937116373449994e-139,1.7026729203940724e-113,3.1832365966896077e-13,2.647720566448281e-68,4.80784059371592e-16,1.9535268528338607e-45,4.389306825262952e-18,1.3095830104183492e-14,3.142999235168371e-15,1.299144814058166e-31,1.2890400386874386e-131,3.13785028372196e-95,6.306290618567798e-65
1.6570454858073722e-17,0.054700809901540644,4.291893467023438e-15,0.938,0.0,0.0,0.03504293086984566,0.009999999999999674,0.04999999999956592,1.3179013169715406e-88,3.4097097267209225e-88,0.0019999999999778563,8.245248369011956e-138,1.2925783861183642e-112,4.3407769859110224e-13,1.1180343668022759e-67,6.556146265187775e-16,4.848174984603732e-45,5.985418399018998e-18,1.7857950124144374e-14,4.285908048624417e-15,2.4067146751620866e-31,1.1766400846394538e-130,2.0062916718221542e-94,2.661606727176702e-64
2.5408030786281638e-17,0.054700809901540644,6.5809033170499035e-15,0.938,0.0,0.0,0.0350429308695997,0.009999999999999499,0.04999999999933441,1.749554027424609e-88,5.155377717959215e-87,0.0019999999999660463,1.1156273688211514e-135,5.65846354984113e-111,6.655857455128404e-13,1.0280342118881242e-66,1.0052757608094622e-15,1.76086995720542e-44,9.177641546486311e-18,2.7382190130596626e-14,6.5717256755034155e-15,5.64433576407267e-31,9.040363161173347e-129,5.160374204851914e-93,2.443438273628885e-63
4.308318264269747e-17,0.054700809901540644,1.1158923016970272e-14,0.938,0.0,0.0,0.03504293086910778,0.009999999999999148,0.049999999998871385,2.5068251621185604e-86,1.553255978047491e-85,0.0019999999999424263,3.050603207952779e-133,5.791486739180496e-109,1.12860171566824e-12,1.6273079199939053e-65,1.704598029376088e-15,8.799441050943361e-44,1.556208784124179e-17,4.643067000962536e-14,1.1143360929129021e-14,1.6209503052441766e-30,1.2427113452953771e-126,2.6908987209883405e-91,3.8535920406352475e-62
