Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36)
2.12146086956676e-20,0.048764219312884285,5.1808045034305915e-18,1.1616985692299065e-36,9.333228775496319e-18,1.7516745737459525e-157,5.185435265139456e-18,0.938,8.849629124616796e-83,4.161160220498364e-18,2.2726637441229148e-52,4.630761708864899e-21,2.1586685430538238e-16,0.0,0.0,0.031239778156881417,0.009999999999999998,0.049999999999999996,9.127513242362594e-90,4.864527017814689e-105,0.0019999999999997793,1.7055933169174456e-167,3.96459539659509e-104
4.2429235375197065e-20,0.048764219312884285,1.0361613398693506e-17,4.646797236235586e-36,1.8666465462810803e-17,8.968597085095589e-155,1.0370874926036783e-17,0.938,2.8318847347522378e-81,8.322323968458859e-18,1.8181323464994537e-51,9.261527343278367e-21,4.31733891595327e-16,0.0,0.0,0.031239778156881177,0.009999999999999997,0.04999999999999999,1.4604027845256534e-88,3.113301106073261e-103,0.001999999999999558,1.7465320920352644e-164,1.268671124422505e-102
8.485848873425599e-20,0.048764219312884285,2.072323118923795e-17,1.858719489334559e-35,3.7332938837245953e-17,4.5919276786171565e-152,2.0741754247850053e-17,0.938,9.062036634196306e-80,1.6644651464379587e-17,1.4545064208093553e-50,1.852305861210502e-20,8.634679661506386e-16,0.0,0.0,0.0312397781568807,0.009999999999999993,0.04999999999999997,2.336644993920051e-87,1.992513932767956e-101,0.001999999999999116,1.7884511900957546e-161,4.059748564561601e-101
1.6971699545237383e-19,0.048764219312884285,4.14464667704013e-17,7.434879170834792e-35,7.466588558534094e-17,2.3510685149450453e-149,4.1483512891551055e-17,0.938,2.899852612500083e-78,3.328930645622001e-17,1.1636053590980365e-49,3.704612114975716e-20,1.7269361151629508e-15,0.0,0.0,0.03123977815687974,0.009999999999999985,0.04999999999999993,3.7386324406741544e-86,1.2752093142905972e-99,0.001999999999998232,1.8313752221225214e-158,1.2991197019350145e-99
3.3943400888860953e-19,0.048764219312884285,8.289293793302587e-17,2.9739519300858406e-34,1.4933177907842982e-16,1.2037474900473854e-146,8.296703017925092e-17,0.938,9.279529861875749e-77,6.657861643989671e-17,9.308843842692043e-49,7.409224622505685e-20,3.453872412794332e-15,0.0,0.0,0.031239778156877823,0.009999999999999967,0.04999999999999986,5.981812327668689e-85,8.161340951451027e-98,0.0019999999999964634,1.8753288673913652e-155,4.157183346791055e-98
6.788680357610809e-19,0.048764219312884285,1.6578588025946637e-16,1.1895808396267983e-33,2.9866356605220285e-16,6.163188355929396e-144,1.65934064755842e-16,0.938,2.969449846393844e-75,1.3315723640723354e-16,7.447075590285469e-48,1.4818449637563779e-19,6.907745006484121e-15,0.0,0.0,0.031239778156873985,0.009999999999999934,0.049999999999999704,9.570900261600743e-84,5.223258725495268e-96,0.0019999999999929267,1.9203371365253785e-152,1.3302987463064319e-96
1.3577360895060236e-18,0.048764219312884285,3.3157176491711316e-16,4.7583236156287294e-33,5.973271399501306e-16,7.801842940358928e-141,3.318681339137899e-16,0.938,9.50224029528704e-74,2.6631447634184093e-16,5.957660883751067e-47,2.9636899667672597e-19,1.3815490187571806e-14,0.0,0.0,0.031239778156866314,0.009999999999999868,0.049999999999999406,9.570900261598234e-84,3.3428858619625914e-94,0.0019999999999858534,4.858996527587472e-149,3.907752571792843e-96
2.7154721969959092e-18,0.048764219312884285,6.631435342514695e-16,1.9033295952250866e-32,1.194654287547512e-15,3.9991906993263103e-138,6.637362722487483e-16,0.938,3.0407172263860957e-72,5.326289562107905e-16,4.766129199721865e-46,5.927379972786071e-19,2.76309805245796e-14,0.0,0.0,0.031239778156850972,0.009999999999999735,0.04999999999999881,9.570900261594547e-84,2.139447184303849e-92,0.0019999999999717063,4.984291183322362e-146,9.062660222004445e-96
5.43094441197568e-18,0.048764219312884285,1.3262870729964334e-15,7.61331945924184e-32,2.3893085819483788e-15,2.0475910351030973e-135,1.3274725489949149e-15,0.938,9.730296973878265e-71,1.0652579159476289e-15,3.8129040818450334e-45,1.185475998481189e-18,5.526196109792489e-14,0.0,0.0,0.031239778156820285,0.009999999999999468,0.049999999999997616,9.57090026174717e-84,1.3692464564672029e-90,0.001999999999943412,5.103936290297572e-143,1.9372475519530067e-95
8.14641662695545e-18,0.048764219312884285,1.9894306118176487e-15,1.6178305630301548e-31,3.5839628755553504e-15,1.167934599507251e-134,1.9912088258173318e-15,0.938,4.5520499383680195e-70,1.5978868756834068e-15,1.0902523931027452e-44,1.7782139996825906e-18,8.289294157059989e-14,0.0,0.0,0.031239778156789598,0.0099999999999992,0.04999999999999642,5.513799292427683e-80,7.674798650822214e-90,0.001999999999915118,3.418807642813662e-142,5.941425775559641e-92
