Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18),NOX2(52),N2X2(45),N2X(46)
1.5487876165619982e-20,0.07384695533935311,4.728040953141345e-18,0.938,0.0,0.0,0.04730850887943934,0.01,0.04999999999999954,5.372423346453192e-91,1.0857403332909114e-93,0.001999999999999976,2.25473415296457e-149,1.9053665216705656e-121,4.714052370632636e-16,4.0013780965983336e-75,2.807589621839748e-18,3.7225244282301387e-48,7.357662938400302e-20,1.9393601347215013e-17,4.654464323757339e-18,4.458078939530157e-34,2.466971614424443e-140,1.3795507399593844e-104,4.589284712976408e-72,3.316733038339123e-85,1.3711868006376808e-93
3.09757588958604e-20,0.07384695533935311,9.456083910289023e-18,0.938,0.0,0.0,0.04730850887943884,0.009999999999999998,0.049999999999999066,8.596280941602436e-90,6.948761588646732e-92,0.0019999999999999523,2.3088567144616346e-146,4.877755821209696e-119,9.428106735212957e-16,1.2804453287086269e-73,5.615180433691527e-18,2.978020647662348e-47,1.4715328995385648e-19,3.8787210910967564e-17,9.308930620335161e-18,1.783232143039044e-33,1.263094358332078e-137,1.7658312956470027e-102,1.4685719711300605e-70,5.306774045301076e-84,4.3877987725865455e-92
6.195152435634122e-20,0.07384695533935311,1.8912169824585866e-17,0.938,0.0,0.0,0.047308508879437834,0.009999999999999995,0.04999999999999812,1.3755336301672466e-88,4.447233357761211e-90,0.001999999999999904,2.3642829874655355e-143,1.2487129202989886e-116,1.8856215451986535e-15,4.09744911241494e-72,1.1230362057394848e-17,2.3824169608930344e-46,2.943066110935526e-19,7.757443002783544e-17,1.8617863213492285e-17,7.13292970872665e-33,6.467080633215181e-135,2.2602775283848714e-100,4.699431585483331e-69,8.49083936918582e-83,1.4040957598038076e-90
1.2390305527730286e-19,0.07384695533935311,3.78243416531855e-17,0.938,0.0,0.0,0.04730850887943582,0.00999999999999999,0.049999999999996235,2.201265207960069e-87,2.846261247198239e-88,0.001999999999999808,2.4210515053283075e-140,3.1967411427383298e-114,3.771243283598546e-15,1.3111985225040201e-70,2.246072530480053e-17,1.905933746990541e-45,5.886132533729018e-19,1.5514886821902233e-16,3.72357283998125e-17,2.85317211249786e-32,3.3111804845279186e-132,2.8931879388077116e-98,1.503818245959026e-67,1.358534354658005e-81,4.493106617182038e-89
2.4780611711922615e-19,0.07384695533935311,7.564868531040853e-17,0.938,0.0,0.0,0.0473085088794318,0.00999999999999998,0.04999999999999246,2.202858889123708e-87,1.821647609920065e-86,0.0019999999999996154,6.126092129103202e-137,8.183839459000337e-112,7.542486740579039e-15,4.1959290862349855e-69,4.492145179960809e-17,1.524747070776211e-44,1.1772265379314277e-18,3.1029774443120076e-16,7.447145877247671e-17,1.141268892155055e-31,4.191649912092848e-129,3.7033631403924216e-96,4.812218187367426e-66,1.3585342660107036e-81,1.319850007302196e-88
4.956122408030727e-19,0.07384695533935311,1.5129737262494972e-16,0.938,0.0,0.0,0.04730850887942375,0.009999999999999957,0.04999999999998492,2.206046251121227e-87,1.1659060635452777e-84,0.0019999999999992307,6.28433869386015e-134,2.0951558302292286e-109,1.5084973575262844e-14,1.3427571970508446e-67,8.984290478920794e-17,1.2197976888918091e-43,2.3544531070477903e-18,6.205954961747763e-16,1.4894291951790038e-16,4.5650756737678e-31,2.1487167555764e-126,4.740515491747838e-94,1.539909518265776e-64,1.358534088756081e-81,3.060928447896173e-88
9.912244881707659e-19,0.07384695533935311,3.0259474725441255e-16,0.938,0.0,0.0,0.04730850887940765,0.009999999999999912,0.04999999999996983,2.2124209818625475e-87,7.462458770703452e-83,0.0019999999999984613,6.435761117229787e-131,5.3640743056154607e-107,3.0169946927521785e-14,4.29720608000621e-66,1.7968581076834658e-16,9.758381688175096e-43,4.708906245277759e-18,1.2411909969388014e-15,2.9788584100912867e-16,1.8260302992052443e-30,1.100243441885076e-123,6.068398682394834e-92,4.92770824941187e-63,1.3585337393705897e-81,6.543084339919362e-88
1.4868367355384592e-18,0.07384695533935311,4.538921218842559e-16,0.938,0.0,0.0,0.04730850887939155,0.009999999999999867,0.04999999999995475,1.2713487894872831e-83,4.182927940363552e-82,0.001999999999997692,4.310948648938903e-130,4.072768110977126e-106,4.5254919962672037e-14,2.0103996868749667e-65,2.695287167474241e-16,2.790287284119295e-42,7.063359383504971e-18,1.8617864949797007e-15,4.468287625007378e-16,3.8803144166525194e-30,6.275786851725882e-123,4.0163865792346903e-91,2.305291219827119e-62,7.826515224067241e-78,2.0067249679695214e-84
1.9824489829061525e-18,0.07384695533935311,6.051894965144798e-16,0.938,0.0,0.0,0.047308508879375454,0.009999999999999822,0.04999999999993966,2.9698571633371725e-83,1.5270224751353222e-81,0.0019999999999969226,3.48457541770535e-129,2.0040882257581396e-105,6.033989268071362e-14,6.485877257945742e-65,3.5937162272644066e-16,5.885524032216373e-42,9.417812521729428e-18,2.4823819902974747e-15,5.957716839927278e-16,6.619359929831502e-30,5.22526493037502e-122,1.8135627315758825e-90,7.437035391887256e-62,1.8260055535783753e-77,6.687091667724867e-84
2.9736734776415392e-18,0.07384695533935311,9.077842457758204e-16,0.938,0.0,0.0,0.04730850887934326,0.009999999999999731,0.049999999999909485,4.0510143391065904e-83,9.946185681892651e-81,0.0019999999999953835,1.362206547115229e-127,2.5452688209838496e-104,9.050983737256216e-14,3.570288298768742e-64,5.390574346843302e-16,1.6075191622768005e-41,1.412671879817187e-17,3.723572974542012e-15,8.936575269776018e-16,1.3704544067429584e-29,1.883260648209994e-120,2.0969682147040335e-89,4.093691184781875e-61,2.4807626034379727e-77,1.7958033442013166e-83
