Time (s),Volume (m^3),H_X(19),He,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NO2(8),H2OX(9),NOX(10),OX(11),NX(12),OHX(13),NH3X(14),NH2X(15),NHX(16),N2OX(17),NO2X(18)
9.682228487726865e-21,0.041572359999999996,2.1833370013362304e-18,0.938,0.0,0.0,0.026632463764571512,0.01,0.04999999999999979,1.573190382375656e-109,7.265212842163313e-121,0.0019999999999999888,1.046877858575786e-189,3.0840434779259075e-154,2.211128107873846e-16,8.719635013554051e-92,6.279405321354435e-20,2.8491385727795303e-61,1.586910053740719e-22,9.096576293044452e-18,2.183178310330856e-18,1.4313376623622132e-41,8.650708773689465e-179,3.0301514908251796e-128
1.9364465183187476e-20,0.041572359999999996,4.366675853511672e-18,0.938,0.0,0.0,0.026632463764571276,0.01,0.049999999999999566,2.5171074942371136e-108,4.649744503064799e-119,0.0019999999999999775,1.0720066520782287e-186,7.895168724647854e-152,4.422258089939144e-16,2.790288133717173e-90,1.2558815965831082e-19,2.2793138509157277e-60,3.1738214527228517e-22,1.819316029735686e-17,4.366358471366398e-18,5.725357682238221e-41,4.429178272845248e-176,3.8786024458108796e-126
3.8728938574108693e-20,0.041572359999999996,8.733353557862348e-18,0.938,0.0,0.0,0.026632463764570808,0.01,0.04999999999999912,4.0273784711482193e-107,2.97584162248404e-117,0.001999999999999955,1.0977381677978837e-183,2.0211671177604687e-149,8.844518053449765e-16,8.928937444220713e-89,2.5117637254783925e-19,1.8234538402346443e-59,6.347644250686977e-22,3.638632830597614e-17,8.732718793437279e-18,2.29014651507877e-40,2.2677462078586778e-173,4.9646207646701896e-124
7.745788535595113e-20,0.041572359999999996,1.7466708966562886e-17,0.938,0.0,0.0,0.026632463764569868,0.01,0.04999999999999824,6.443824096278024e-106,1.9045434700655026e-115,0.00199999999999991,1.1240885695266078e-180,5.174201519534406e-147,1.7689037977991111e-15,2.857267267524691e-87,5.023527983268785e-19,1.4587666758688166e-58,1.2695289846614672e-21,7.277266432319257e-17,1.7465439437578226e-17,9.160609229685488e-40,1.1610908996285787e-170,6.354731419743621e-122
1.54915778919636e-19,0.041572359999999996,3.493341978396072e-17,0.938,0.0,0.0,0.02663246376456799,0.01,0.04999999999999647,1.0310176134076009e-104,1.218913445965811e-113,0.0019999999999998196,1.1510751715139727e-177,1.3246017839678224e-144,3.5378077817154212e-15,9.143297752760013e-86,1.004705649884886e-18,1.1670187819768783e-57,2.5390581038467814e-21,1.455453363575368e-16,3.493088072585687e-17,3.664261353750895e-39,5.944829201362434e-168,8.134094323967799e-120
3.0983156604700577e-19,0.041572359999999996,6.98668414187434e-17,0.938,0.0,0.0,0.026632463764564237,0.01,0.04999999999999293,1.6496464666073759e-103,7.8011162656456485e-112,0.0019999999999996392,1.178717761765502e-174,3.391011237592106e-142,7.0756157455802044e-15,2.9258818180148284e-84,2.009411353000618e-18,9.336236017925e-57,5.078116342216515e-21,2.9109068042587084e-16,6.986176330240118e-17,1.4657184962777773e-38,3.0437959182972255e-165,1.0411735083901957e-117
6.1966314030174525e-19,0.041572359999999996,1.3973368468825675e-16,0.938,0.0,0.0,0.02663246376455673,0.009999999999999998,0.049999999999985854,1.6496464666073674e-103,4.992803707915159e-110,0.0019999999999992784,2.982621465383028e-171,8.681144461073362e-140,1.4151231657438421e-14,9.362990598224839e-83,4.018822759230949e-18,7.469125514460779e-56,1.01562328189524e-20,5.821813685611212e-16,1.3972352845543775e-16,5.862985273882566e-38,3.8532438838325483e-162,1.3327260391071555e-115
1.2393262888112242e-18,0.041572359999999996,2.7946737122707547e-16,0.938,0.0,0.0,0.026632463764541713,0.009999999999999997,0.049999999999971706,1.6496464666072723e-103,3.1955084912666243e-108,0.0019999999999985563,3.059752593359441e-168,2.222452525265996e-137,2.830246341766946e-14,2.9962648420358556e-81,8.03764557168708e-18,5.9755189243943646e-55,2.0312465772409847e-20,1.1643627448259516e-15,2.7944705876130297e-16,2.345283070680613e-37,1.9752987388205366e-159,1.705950506751158e-113
2.478652585830182e-18,0.041572359999999996,5.589347443038809e-16,0.938,0.0,0.0,0.026632463764511678,0.009999999999999993,0.0499999999999434,1.6496464666072723e-103,2.0452714475532263e-106,0.0019999999999971126,3.1336529973163117e-165,5.689885507734438e-135,5.6604926684189965e-14,9.588737470130363e-80,1.6075291196581206e-17,4.780764678160295e-54,4.0624931679267407e-20,2.3287254973329294e-15,5.588941193722016e-16,9.381843831963978e-37,1.01150183771102e-156,2.1837731775307556e-111
3.71797888284914e-18,0.041572359999999996,8.384021173798543e-16,0.938,0.0,0.0,0.026632463764481643,0.00999999999999999,0.0499999999999151,9.506010077783864e-100,1.1464303508885391e-105,0.001999999999995669,2.099042238179641e-164,4.320133224353286e-134,8.490738969676889e-14,4.485962928369608e-79,2.41129368214572e-17,1.3670645450939231e-53,6.093739758606764e-20,3.493088249817224e-15,8.383411799822682e-16,1.993761883276689e-36,5.769563030403207e-156,1.445331530683383e-110
